[*] Generating 8-bit Prime-Harmonic Manifold...
[*] Initial Manifold Size: 267
[*] Pruning 11 values...
[*] Final Manifold Size: 256
[*] Launching 0.1B ANTIGRAVITY (Phase 53)...
[*] Resuming...
C:\Users\phil\AppData\Roaming\Python\Python310\site-packages\huggingface_hub\file_download.py:896: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
[*] Keys Adjusted: 0 missing, 0 unexpected.
[*] Clearing Initialization Memory...
C:\Users\phil\AppData\Roaming\Python\Python310\site-packages\huggingface_hub\file_download.py:896: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
Token indices sequence length is longer than the specified maximum sequence length for this model (1055 > 1024). Running this sequence through the model will result in indexing errors
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1593 | Tension: 0.999263
[!] AVALANCHE in blocks.4.mlp_fc2 | Flips: 834 | Tension: 0.999569
[!] AVALANCHE in blocks.5.mlp_fc1 | Flips: 955 | Tension: 0.999858
[!] AVALANCHE in blocks.5.mlp_fc2 | Flips: 778 | Tension: 0.999543
[!] AVALANCHE in blocks.6.mlp_fc1 | Flips: 914 | Tension: 0.999732
[!] AVALANCHE in blocks.6.mlp_fc2 | Flips: 724 | Tension: 0.999586
[!] AVALANCHE in blocks.7.mlp_fc1 | Flips: 1066 | Tension: 0.999799
[!] AVALANCHE in blocks.7.mlp_fc2 | Flips: 845 | Tension: 0.999552
[!] AVALANCHE in blocks.8.mlp_fc1 | Flips: 1150 | Tension: 0.999815
[!] AVALANCHE in blocks.8.mlp_fc2 | Flips: 1027 | Tension: 0.999707
[!] AVALANCHE in blocks.9.mlp_fc1 | Flips: 1206 | Tension: 0.999689
[!] AVALANCHE in blocks.9.mlp_fc2 | Flips: 1035 | Tension: 0.999608
[!] AVALANCHE in blocks.10.mlp_fc1 | Flips: 2339 | Tension: 1.000127
[!] AVALANCHE in blocks.10.mlp_fc2 | Flips: 2331 | Tension: 0.999588
[!] AVALANCHE in blocks.11.mlp_fc1 | Flips: 1359 | Tension: 0.999985
[!] AVALANCHE in blocks.11.mlp_fc2 | Flips: 927 | Tension: 0.999805
[!] AVALANCHE in blocks.12.mlp_fc1 | Flips: 1511 | Tension: 1.000916
[!] AVALANCHE in blocks.12.mlp_fc2 | Flips: 2258 | Tension: 1.000255
[!] AVALANCHE in head | Flips: 9970 | Tension: 0.996819
Step 11 | Loss: 5.7116 | TPS: 5496.47 | Flips: 0.0411% | P-Scale: 0.9996 | Anneal: 0.56 | VRAM: 6.07GB
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1704 | Tension: 0.999281
[!] AVALANCHE in blocks.0.mlp_fc2 | Flips: 1544 | Tension: 0.999021
[!] AVALANCHE in blocks.1.mlp_fc1 | Flips: 744 | Tension: 0.999875
[!] AVALANCHE in blocks.1.mlp_fc2 | Flips: 696 | Tension: 0.999442
[!] AVALANCHE in blocks.2.mlp_fc1 | Flips: 845 | Tension: 0.999888
[!] AVALANCHE in blocks.2.mlp_fc2 | Flips: 925 | Tension: 0.999562
[!] AVALANCHE in blocks.3.mlp_fc1 | Flips: 1084 | Tension: 1.000104
[!] AVALANCHE in blocks.3.mlp_fc2 | Flips: 1293 | Tension: 0.999376
[!] AVALANCHE in blocks.4.mlp_fc1 | Flips: 945 | Tension: 0.999914
[!] AVALANCHE in blocks.4.mlp_fc2 | Flips: 802 | Tension: 0.999569
[!] AVALANCHE in blocks.5.mlp_fc1 | Flips: 1020 | Tension: 0.999857
[!] AVALANCHE in blocks.5.mlp_fc2 | Flips: 761 | Tension: 0.999543
[!] AVALANCHE in blocks.6.mlp_fc1 | Flips: 864 | Tension: 0.999733
[!] AVALANCHE in blocks.6.mlp_fc2 | Flips: 705 | Tension: 0.999586
[!] AVALANCHE in blocks.7.mlp_fc1 | Flips: 1011 | Tension: 0.999798
[!] AVALANCHE in blocks.7.mlp_fc2 | Flips: 821 | Tension: 0.999552
[!] AVALANCHE in blocks.8.mlp_fc1 | Flips: 1076 | Tension: 0.999816
[!] AVALANCHE in blocks.8.mlp_fc2 | Flips: 946 | Tension: 0.999707
[!] AVALANCHE in blocks.9.mlp_fc1 | Flips: 1203 | Tension: 0.999690
[!] AVALANCHE in blocks.9.mlp_fc2 | Flips: 932 | Tension: 0.999608
[!] AVALANCHE in blocks.10.mlp_fc1 | Flips: 2381 | Tension: 1.000130
[!] AVALANCHE in blocks.10.mlp_fc2 | Flips: 2450 | Tension: 0.999590
[!] AVALANCHE in blocks.11.mlp_fc1 | Flips: 1288 | Tension: 0.999986
[!] AVALANCHE in blocks.11.mlp_fc2 | Flips: 932 | Tension: 0.999805
[!] AVALANCHE in blocks.12.mlp_fc1 | Flips: 1575 | Tension: 1.000920
[!] AVALANCHE in blocks.12.mlp_fc2 | Flips: 2149 | Tension: 1.000258
[!] AVALANCHE in head | Flips: 10215 | Tension: 0.996805
Step 12 | Loss: 5.5411 | TPS: 5471.70 | Flips: 0.0409% | P-Scale: 0.9996 | Anneal: 0.56 | VRAM: 6.07GB
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1601 | Tension: 0.999283
[!] AVALANCHE in blocks.0.mlp_fc2 | Flips: 1556 | Tension: 0.999017
[!] AVALANCHE in blocks.1.mlp_fc1 | Flips: 737 | Tension: 0.999875
[!] AVALANCHE in blocks.1.mlp_fc2 | Flips: 789 | Tension: 0.999442
[!] AVALANCHE in blocks.2.mlp_fc1 | Flips: 839 | Tension: 0.999890
[!] AVALANCHE in blocks.2.mlp_fc2 | Flips: 939 | Tension: 0.999561
[!] AVALANCHE in blocks.3.mlp_fc1 | Flips: 1169 | Tension: 1.000104
[!] AVALANCHE in blocks.3.mlp_fc2 | Flips: 1306 | Tension: 0.999376
[!] AVALANCHE in blocks.4.mlp_fc1 | Flips: 859 | Tension: 0.999912
[!] AVALANCHE in blocks.4.mlp_fc2 | Flips: 835 | Tension: 0.999569
[!] AVALANCHE in blocks.5.mlp_fc1 | Flips: 1087 | Tension: 0.999856
[!] AVALANCHE in blocks.5.mlp_fc2 | Flips: 863 | Tension: 0.999543
[!] AVALANCHE in blocks.6.mlp_fc1 | Flips: 947 | Tension: 0.999734
[!] AVALANCHE in blocks.6.mlp_fc2 | Flips: 802 | Tension: 0.999586
[!] AVALANCHE in blocks.7.mlp_fc1 | Flips: 1074 | Tension: 0.999797
[!] AVALANCHE in blocks.7.mlp_fc2 | Flips: 764 | Tension: 0.999552
[!] AVALANCHE in blocks.8.mlp_fc1 | Flips: 1142 | Tension: 0.999816
[!] AVALANCHE in blocks.8.mlp_fc2 | Flips: 972 | Tension: 0.999707
[!] AVALANCHE in blocks.9.mlp_fc1 | Flips: 1195 | Tension: 0.999690
[!] AVALANCHE in blocks.9.mlp_fc2 | Flips: 921 | Tension: 0.999609
[!] AVALANCHE in blocks.10.mlp_fc1 | Flips: 2392 | Tension: 1.000133
[!] AVALANCHE in blocks.10.mlp_fc2 | Flips: 2457 | Tension: 0.999592
[!] AVALANCHE in blocks.11.mlp_fc1 | Flips: 1253 | Tension: 0.999987
[!] AVALANCHE in blocks.11.mlp_fc2 | Flips: 991 | Tension: 0.999805
[!] AVALANCHE in blocks.12.mlp_fc1 | Flips: 1588 | Tension: 1.000923
[!] AVALANCHE in blocks.12.mlp_fc2 | Flips: 2260 | Tension: 1.000261
[!] AVALANCHE in head | Flips: 9985 | Tension: 0.996792
Step 13 | Loss: 5.2791 | TPS: 5496.66 | Flips: 0.0413% | P-Scale: 0.9996 | Anneal: 0.56 | VRAM: 6.07GB
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1666 | Tension: 0.999284
[!] AVALANCHE in blocks.0.mlp_fc2 | Flips: 1538 | Tension: 0.999013
[!] AVALANCHE in blocks.1.mlp_fc1 | Flips: 783 | Tension: 0.999874
[!] AVALANCHE in blocks.1.mlp_fc2 | Flips: 829 | Tension: 0.999442
[!] AVALANCHE in blocks.2.mlp_fc1 | Flips: 819 | Tension: 0.999891
[!] AVALANCHE in blocks.2.mlp_fc2 | Flips: 965 | Tension: 0.999561
[!] AVALANCHE in blocks.3.mlp_fc1 | Flips: 1131 | Tension: 1.000103
[!] AVALANCHE in blocks.3.mlp_fc2 | Flips: 1229 | Tension: 0.999376
[!] AVALANCHE in blocks.4.mlp_fc1 | Flips: 916 | Tension: 0.999911
[!] AVALANCHE in blocks.4.mlp_fc2 | Flips: 852 | Tension: 0.999568
[!] AVALANCHE in blocks.5.mlp_fc1 | Flips: 932 | Tension: 0.999855
[!] AVALANCHE in blocks.5.mlp_fc2 | Flips: 749 | Tension: 0.999543
[!] AVALANCHE in blocks.6.mlp_fc1 | Flips: 919 | Tension: 0.999734
[!] AVALANCHE in blocks.6.mlp_fc2 | Flips: 814 | Tension: 0.999586
[!] AVALANCHE in blocks.7.mlp_fc1 | Flips: 1045 | Tension: 0.999797
[!] AVALANCHE in blocks.7.mlp_fc2 | Flips: 890 | Tension: 0.999551
[!] AVALANCHE in blocks.8.mlp_fc1 | Flips: 1176 | Tension: 0.999816
[!] AVALANCHE in blocks.8.mlp_fc2 | Flips: 980 | Tension: 0.999707
[!] AVALANCHE in blocks.9.mlp_fc1 | Flips: 1208 | Tension: 0.999690
[!] AVALANCHE in blocks.9.mlp_fc2 | Flips: 930 | Tension: 0.999609
[!] AVALANCHE in blocks.10.mlp_fc1 | Flips: 2405 | Tension: 1.000136
[!] AVALANCHE in blocks.10.mlp_fc2 | Flips: 2569 | Tension: 0.999595
[!] AVALANCHE in blocks.11.mlp_fc1 | Flips: 1261 | Tension: 0.999988
[!] AVALANCHE in blocks.11.mlp_fc2 | Flips: 924 | Tension: 0.999805
[!] AVALANCHE in blocks.12.mlp_fc1 | Flips: 1479 | Tension: 1.000925
[!] AVALANCHE in blocks.12.mlp_fc2 | Flips: 2232 | Tension: 1.000264
[!] AVALANCHE in head | Flips: 9467 | Tension: 0.996780
Step 14 | Loss: 5.6124 | TPS: 5506.93 | Flips: 0.0407% | P-Scale: 0.9996 | Anneal: 0.57 | VRAM: 6.07GB
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1689 | Tension: 0.999285
[!] AVALANCHE in blocks.0.mlp_fc2 | Flips: 1512 | Tension: 0.999009
[!] AVALANCHE in blocks.1.mlp_fc1 | Flips: 692 | Tension: 0.999874
[!] AVALANCHE in blocks.1.mlp_fc2 | Flips: 772 | Tension: 0.999442
[!] AVALANCHE in blocks.2.mlp_fc1 | Flips: 801 | Tension: 0.999893
[!] AVALANCHE in blocks.2.mlp_fc2 | Flips: 892 | Tension: 0.999560
[!] AVALANCHE in blocks.3.mlp_fc1 | Flips: 1110 | Tension: 1.000102
[!] AVALANCHE in blocks.3.mlp_fc2 | Flips: 1236 | Tension: 0.999375
[!] AVALANCHE in blocks.4.mlp_fc1 | Flips: 945 | Tension: 0.999910
[!] AVALANCHE in blocks.4.mlp_fc2 | Flips: 831 | Tension: 0.999567
[!] AVALANCHE in blocks.5.mlp_fc1 | Flips: 960 | Tension: 0.999854
[!] AVALANCHE in blocks.5.mlp_fc2 | Flips: 744 | Tension: 0.999543
[!] AVALANCHE in blocks.6.mlp_fc1 | Flips: 933 | Tension: 0.999734
[!] AVALANCHE in blocks.6.mlp_fc2 | Flips: 752 | Tension: 0.999585
[!] AVALANCHE in blocks.7.mlp_fc1 | Flips: 1020 | Tension: 0.999796
[!] AVALANCHE in blocks.7.mlp_fc2 | Flips: 777 | Tension: 0.999551
[!] AVALANCHE in blocks.8.mlp_fc1 | Flips: 1132 | Tension: 0.999817
[!] AVALANCHE in blocks.8.mlp_fc2 | Flips: 996 | Tension: 0.999706
[!] AVALANCHE in blocks.9.mlp_fc1 | Flips: 1174 | Tension: 0.999690
[!] AVALANCHE in blocks.9.mlp_fc2 | Flips: 944 | Tension: 0.999609
[!] AVALANCHE in blocks.10.mlp_fc1 | Flips: 2321 | Tension: 1.000139
[!] AVALANCHE in blocks.10.mlp_fc2 | Flips: 2387 | Tension: 0.999596
[!] AVALANCHE in blocks.11.mlp_fc1 | Flips: 1295 | Tension: 0.999988
[!] AVALANCHE in blocks.11.mlp_fc2 | Flips: 1050 | Tension: 0.999805
[!] AVALANCHE in blocks.12.mlp_fc1 | Flips: 1492 | Tension: 1.000927
[!] AVALANCHE in blocks.12.mlp_fc2 | Flips: 2193 | Tension: 1.000265
[!] AVALANCHE in head | Flips: 9967 | Tension: 0.996768
Step 15 | Loss: 5.4032 | TPS: 5510.04 | Flips: 0.0406% | P-Scale: 0.9996 | Anneal: 0.57 | VRAM: 6.07GB
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1632 | Tension: 0.999286
[!] AVALANCHE in blocks.0.mlp_fc2 | Flips: 1520 | Tension: 0.999005
[!] AVALANCHE in blocks.1.mlp_fc1 | Flips: 734 | Tension: 0.999873
[!] AVALANCHE in blocks.1.mlp_fc2 | Flips: 769 | Tension: 0.999442
[!] AVALANCHE in blocks.2.mlp_fc1 | Flips: 889 | Tension: 0.999894
[!] AVALANCHE in blocks.2.mlp_fc2 | Flips: 923 | Tension: 0.999560
[!] AVALANCHE in blocks.3.mlp_fc1 | Flips: 1127 | Tension: 1.000101
[!] AVALANCHE in blocks.3.mlp_fc2 | Flips: 1292 | Tension: 0.999373
[!] AVALANCHE in blocks.4.mlp_fc1 | Flips: 888 | Tension: 0.999909
[!] AVALANCHE in blocks.4.mlp_fc2 | Flips: 833 | Tension: 0.999567
[!] AVALANCHE in blocks.5.mlp_fc1 | Flips: 996 | Tension: 0.999853
[!] AVALANCHE in blocks.5.mlp_fc2 | Flips: 731 | Tension: 0.999543
[!] AVALANCHE in blocks.6.mlp_fc1 | Flips: 915 | Tension: 0.999734
[!] AVALANCHE in blocks.6.mlp_fc2 | Flips: 754 | Tension: 0.999585
[!] AVALANCHE in blocks.7.mlp_fc1 | Flips: 1099 | Tension: 0.999796
[!] AVALANCHE in blocks.7.mlp_fc2 | Flips: 842 | Tension: 0.999551
[!] AVALANCHE in blocks.8.mlp_fc1 | Flips: 1152 | Tension: 0.999818
[!] AVALANCHE in blocks.8.mlp_fc2 | Flips: 957 | Tension: 0.999705
[!] AVALANCHE in blocks.9.mlp_fc1 | Flips: 1114 | Tension: 0.999690
[!] AVALANCHE in blocks.9.mlp_fc2 | Flips: 868 | Tension: 0.999609
[!] AVALANCHE in blocks.10.mlp_fc1 | Flips: 2391 | Tension: 1.000141
[!] AVALANCHE in blocks.10.mlp_fc2 | Flips: 2476 | Tension: 0.999598
[!] AVALANCHE in blocks.11.mlp_fc1 | Flips: 1284 | Tension: 0.999988
[!] AVALANCHE in blocks.11.mlp_fc2 | Flips: 938 | Tension: 0.999805
[!] AVALANCHE in blocks.12.mlp_fc1 | Flips: 1538 | Tension: 1.000929
[!] AVALANCHE in blocks.12.mlp_fc2 | Flips: 2220 | Tension: 1.000267
[!] AVALANCHE in head | Flips: 10246 | Tension: 0.996756
Step 16 | Loss: 5.2366 | TPS: 5504.76 | Flips: 0.0412% | P-Scale: 0.9996 | Anneal: 0.58 | VRAM: 6.07GB
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1608 | Tension: 0.999286
[!] AVALANCHE in blocks.0.mlp_fc2 | Flips: 1546 | Tension: 0.999000
[!] AVALANCHE in blocks.1.mlp_fc1 | Flips: 723 | Tension: 0.999873
[!] AVALANCHE in blocks.1.mlp_fc2 | Flips: 802 | Tension: 0.999442
[!] AVALANCHE in blocks.2.mlp_fc1 | Flips: 797 | Tension: 0.999895
[!] AVALANCHE in blocks.2.mlp_fc2 | Flips: 978 | Tension: 0.999558
[!] AVALANCHE in blocks.3.mlp_fc1 | Flips: 1088 | Tension: 1.000100
[!] AVALANCHE in blocks.3.mlp_fc2 | Flips: 1271 | Tension: 0.999372
[!] AVALANCHE in blocks.4.mlp_fc1 | Flips: 949 | Tension: 0.999907
[!] AVALANCHE in blocks.4.mlp_fc2 | Flips: 887 | Tension: 0.999566
[!] AVALANCHE in blocks.5.mlp_fc1 | Flips: 909 | Tension: 0.999853
[!] AVALANCHE in blocks.5.mlp_fc2 | Flips: 783 | Tension: 0.999543
[!] AVALANCHE in blocks.6.mlp_fc1 | Flips: 926 | Tension: 0.999734
[!] AVALANCHE in blocks.6.mlp_fc2 | Flips: 732 | Tension: 0.999584
[!] AVALANCHE in blocks.7.mlp_fc1 | Flips: 1069 | Tension: 0.999796
[!] AVALANCHE in blocks.7.mlp_fc2 | Flips: 790 | Tension: 0.999550
[!] AVALANCHE in blocks.8.mlp_fc1 | Flips: 1139 | Tension: 0.999819
[!] AVALANCHE in blocks.8.mlp_fc2 | Flips: 989 | Tension: 0.999705
[!] AVALANCHE in blocks.9.mlp_fc1 | Flips: 1168 | Tension: 0.999690
[!] AVALANCHE in blocks.9.mlp_fc2 | Flips: 850 | Tension: 0.999609
[!] AVALANCHE in blocks.10.mlp_fc1 | Flips: 2389 | Tension: 1.000143
[!] AVALANCHE in blocks.10.mlp_fc2 | Flips: 2419 | Tension: 0.999599
[!] AVALANCHE in blocks.11.mlp_fc1 | Flips: 1335 | Tension: 0.999989
[!] AVALANCHE in blocks.11.mlp_fc2 | Flips: 1049 | Tension: 0.999805
[!] AVALANCHE in blocks.12.mlp_fc1 | Flips: 1509 | Tension: 1.000932
[!] AVALANCHE in blocks.12.mlp_fc2 | Flips: 2194 | Tension: 1.000269
[!] AVALANCHE in head | Flips: 9871 | Tension: 0.996746
Step 17 | Loss: 5.8182 | TPS: 5399.92 | Flips: 0.0408% | P-Scale: 0.9996 | Anneal: 0.58 | VRAM: 6.07GB
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1592 | Tension: 0.999287
[!] AVALANCHE in blocks.0.mlp_fc2 | Flips: 1491 | Tension: 0.998995
[!] AVALANCHE in blocks.1.mlp_fc1 | Flips: 801 | Tension: 0.999873
[!] AVALANCHE in blocks.1.mlp_fc2 | Flips: 775 | Tension: 0.999442
[!] AVALANCHE in blocks.2.mlp_fc1 | Flips: 748 | Tension: 0.999896
[!] AVALANCHE in blocks.2.mlp_fc2 | Flips: 955 | Tension: 0.999557
[!] AVALANCHE in blocks.3.mlp_fc1 | Flips: 1077 | Tension: 1.000100
[!] AVALANCHE in blocks.3.mlp_fc2 | Flips: 1234 | Tension: 0.999372
[!] AVALANCHE in blocks.4.mlp_fc1 | Flips: 964 | Tension: 0.999906
[!] AVALANCHE in blocks.4.mlp_fc2 | Flips: 853 | Tension: 0.999565
[!] AVALANCHE in blocks.5.mlp_fc1 | Flips: 1015 | Tension: 0.999853
[!] AVALANCHE in blocks.5.mlp_fc2 | Flips: 781 | Tension: 0.999543
[!] AVALANCHE in blocks.6.mlp_fc1 | Flips: 988 | Tension: 0.999735
[!] AVALANCHE in blocks.6.mlp_fc2 | Flips: 762 | Tension: 0.999583
[!] AVALANCHE in blocks.7.mlp_fc1 | Flips: 1015 | Tension: 0.999795
[!] AVALANCHE in blocks.7.mlp_fc2 | Flips: 874 | Tension: 0.999549
[!] AVALANCHE in blocks.8.mlp_fc1 | Flips: 1209 | Tension: 0.999819
[!] AVALANCHE in blocks.8.mlp_fc2 | Flips: 990 | Tension: 0.999704
[!] AVALANCHE in blocks.9.mlp_fc1 | Flips: 1169 | Tension: 0.999691
[!] AVALANCHE in blocks.9.mlp_fc2 | Flips: 942 | Tension: 0.999609
[!] AVALANCHE in blocks.10.mlp_fc1 | Flips: 2431 | Tension: 1.000145
[!] AVALANCHE in blocks.10.mlp_fc2 | Flips: 2398 | Tension: 0.999600
[!] AVALANCHE in blocks.11.mlp_fc1 | Flips: 1282 | Tension: 0.999990
[!] AVALANCHE in blocks.11.mlp_fc2 | Flips: 954 | Tension: 0.999806
[!] AVALANCHE in blocks.12.mlp_fc1 | Flips: 1565 | Tension: 1.000935
[!] AVALANCHE in blocks.12.mlp_fc2 | Flips: 2184 | Tension: 1.000272
[!] AVALANCHE in head | Flips: 10551 | Tension: 0.996735
Step 18 | Loss: 6.3531 | TPS: 5473.97 | Flips: 0.0416% | P-Scale: 0.9996 | Anneal: 0.59 | VRAM: 6.07GB
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1627 | Tension: 0.999287
[!] AVALANCHE in blocks.0.mlp_fc2 | Flips: 1447 | Tension: 0.998990
[!] AVALANCHE in blocks.1.mlp_fc1 | Flips: 724 | Tension: 0.999873
[!] AVALANCHE in blocks.1.mlp_fc2 | Flips: 758 | Tension: 0.999442
[!] AVALANCHE in blocks.2.mlp_fc1 | Flips: 847 | Tension: 0.999896
[!] AVALANCHE in blocks.2.mlp_fc2 | Flips: 951 | Tension: 0.999556
[!] AVALANCHE in blocks.3.mlp_fc1 | Flips: 1029 | Tension: 1.000100
[!] AVALANCHE in blocks.3.mlp_fc2 | Flips: 1167 | Tension: 0.999371
[!] AVALANCHE in blocks.4.mlp_fc1 | Flips: 892 | Tension: 0.999906
[!] AVALANCHE in blocks.4.mlp_fc2 | Flips: 839 | Tension: 0.999565
[!] AVALANCHE in blocks.5.mlp_fc1 | Flips: 968 | Tension: 0.999853
[!] AVALANCHE in blocks.5.mlp_fc2 | Flips: 767 | Tension: 0.999543
[!] AVALANCHE in blocks.6.mlp_fc1 | Flips: 872 | Tension: 0.999736
[!] AVALANCHE in blocks.6.mlp_fc2 | Flips: 720 | Tension: 0.999582
[!] AVALANCHE in blocks.7.mlp_fc1 | Flips: 1027 | Tension: 0.999795
[!] AVALANCHE in blocks.7.mlp_fc2 | Flips: 782 | Tension: 0.999549
[!] AVALANCHE in blocks.8.mlp_fc1 | Flips: 1101 | Tension: 0.999820
[!] AVALANCHE in blocks.8.mlp_fc2 | Flips: 934 | Tension: 0.999703
[!] AVALANCHE in blocks.9.mlp_fc1 | Flips: 1155 | Tension: 0.999691
[!] AVALANCHE in blocks.9.mlp_fc2 | Flips: 921 | Tension: 0.999609
[!] AVALANCHE in blocks.10.mlp_fc1 | Flips: 2328 | Tension: 1.000148
[!] AVALANCHE in blocks.10.mlp_fc2 | Flips: 2356 | Tension: 0.999602
[!] AVALANCHE in blocks.11.mlp_fc1 | Flips: 1244 | Tension: 0.999991
[!] AVALANCHE in blocks.11.mlp_fc2 | Flips: 843 | Tension: 0.999806
[!] AVALANCHE in blocks.12.mlp_fc1 | Flips: 1455 | Tension: 1.000939
[!] AVALANCHE in blocks.12.mlp_fc2 | Flips: 2158 | Tension: 1.000275
[!] AVALANCHE in head | Flips: 10480 | Tension: 0.996725
Step 19 | Loss: 5.1212 | TPS: 5450.88 | Flips: 0.0404% | P-Scale: 0.9996 | Anneal: 0.59 | VRAM: 6.07GB
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1650 | Tension: 0.999288
[!] AVALANCHE in blocks.0.mlp_fc2 | Flips: 1508 | Tension: 0.998985
[!] AVALANCHE in blocks.1.mlp_fc1 | Flips: 756 | Tension: 0.999872
[!] AVALANCHE in blocks.1.mlp_fc2 | Flips: 744 | Tension: 0.999441
[!] AVALANCHE in blocks.2.mlp_fc1 | Flips: 769 | Tension: 0.999898
[!] AVALANCHE in blocks.2.mlp_fc2 | Flips: 868 | Tension: 0.999555
[!] AVALANCHE in blocks.3.mlp_fc1 | Flips: 1069 | Tension: 1.000099
[!] AVALANCHE in blocks.3.mlp_fc2 | Flips: 1234 | Tension: 0.999371
[!] AVALANCHE in blocks.4.mlp_fc1 | Flips: 892 | Tension: 0.999906
[!] AVALANCHE in blocks.4.mlp_fc2 | Flips: 808 | Tension: 0.999566
[!] AVALANCHE in blocks.5.mlp_fc1 | Flips: 977 | Tension: 0.999853
[!] AVALANCHE in blocks.5.mlp_fc2 | Flips: 761 | Tension: 0.999543
[!] AVALANCHE in blocks.6.mlp_fc1 | Flips: 923 | Tension: 0.999737
[!] AVALANCHE in blocks.6.mlp_fc2 | Flips: 666 | Tension: 0.999582
[!] AVALANCHE in blocks.7.mlp_fc1 | Flips: 1072 | Tension: 0.999794
[!] AVALANCHE in blocks.7.mlp_fc2 | Flips: 833 | Tension: 0.999549
[!] AVALANCHE in blocks.8.mlp_fc1 | Flips: 1088 | Tension: 0.999820
[!] AVALANCHE in blocks.8.mlp_fc2 | Flips: 923 | Tension: 0.999703
[!] AVALANCHE in blocks.9.mlp_fc1 | Flips: 1127 | Tension: 0.999692
[!] AVALANCHE in blocks.9.mlp_fc2 | Flips: 860 | Tension: 0.999609
[!] AVALANCHE in blocks.10.mlp_fc1 | Flips: 2287 | Tension: 1.000151
[!] AVALANCHE in blocks.10.mlp_fc2 | Flips: 2291 | Tension: 0.999604
[!] AVALANCHE in blocks.11.mlp_fc1 | Flips: 1287 | Tension: 0.999992
[!] AVALANCHE in blocks.11.mlp_fc2 | Flips: 897 | Tension: 0.999807
[!] AVALANCHE in blocks.12.mlp_fc1 | Flips: 1461 | Tension: 1.000942
[!] AVALANCHE in blocks.12.mlp_fc2 | Flips: 2175 | Tension: 1.000277
[!] AVALANCHE in head | Flips: 10495 | Tension: 0.996716
Step 20 | Loss: 5.0885 | TPS: 5504.78 | Flips: 0.0404% | P-Scale: 0.9996 | Anneal: 0.60 | VRAM: 6.07GB
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1599 | Tension: 0.999289
[!] AVALANCHE in blocks.0.mlp_fc2 | Flips: 1562 | Tension: 0.998981
[!] AVALANCHE in blocks.1.mlp_fc1 | Flips: 768 | Tension: 0.999872
[!] AVALANCHE in blocks.1.mlp_fc2 | Flips: 773 | Tension: 0.999441
[!] AVALANCHE in blocks.2.mlp_fc1 | Flips: 818 | Tension: 0.999899
[!] AVALANCHE in blocks.2.mlp_fc2 | Flips: 860 | Tension: 0.999553
[!] AVALANCHE in blocks.3.mlp_fc1 | Flips: 1113 | Tension: 1.000098
[!] AVALANCHE in blocks.3.mlp_fc2 | Flips: 1253 | Tension: 0.999370
[!] AVALANCHE in blocks.4.mlp_fc1 | Flips: 942 | Tension: 0.999907
[!] AVALANCHE in blocks.4.mlp_fc2 | Flips: 831 | Tension: 0.999565
[!] AVALANCHE in blocks.5.mlp_fc1 | Flips: 977 | Tension: 0.999853
[!] AVALANCHE in blocks.5.mlp_fc2 | Flips: 792 | Tension: 0.999543
[!] AVALANCHE in blocks.6.mlp_fc1 | Flips: 909 | Tension: 0.999738
[!] AVALANCHE in blocks.6.mlp_fc2 | Flips: 694 | Tension: 0.999582
[!] AVALANCHE in blocks.7.mlp_fc1 | Flips: 991 | Tension: 0.999793
[!] AVALANCHE in blocks.7.mlp_fc2 | Flips: 772 | Tension: 0.999548
[!] AVALANCHE in blocks.8.mlp_fc1 | Flips: 1138 | Tension: 0.999820
[!] AVALANCHE in blocks.8.mlp_fc2 | Flips: 919 | Tension: 0.999703
[!] AVALANCHE in blocks.9.mlp_fc1 | Flips: 1174 | Tension: 0.999692
[!] AVALANCHE in blocks.9.mlp_fc2 | Flips: 878 | Tension: 0.999610
[!] AVALANCHE in blocks.10.mlp_fc1 | Flips: 2276 | Tension: 1.000155
[!] AVALANCHE in blocks.10.mlp_fc2 | Flips: 2446 | Tension: 0.999606
[!] AVALANCHE in blocks.11.mlp_fc1 | Flips: 1313 | Tension: 0.999994
[!] AVALANCHE in blocks.11.mlp_fc2 | Flips: 898 | Tension: 0.999807
[!] AVALANCHE in blocks.12.mlp_fc1 | Flips: 1449 | Tension: 1.000946
[!] AVALANCHE in blocks.12.mlp_fc2 | Flips: 2135 | Tension: 1.000280
[!] AVALANCHE in head | Flips: 9907 | Tension: 0.996707
Step 21 | Loss: 5.3308 | TPS: 5499.88 | Flips: 0.0402% | P-Scale: 0.9996 | Anneal: 0.60 | VRAM: 6.07GB
